zoneName,Status,FullName,LastUpdate,Risk,Impact,Owner
AD,Not Available,Andorra,2/10/25,Medium,Low,Not assigned
AE,Not Available,UnitedArabEmirates,2/10/25,Medium,Low,Not assigned
AF,Not Available,Afghanistan,2/10/25,Medium,Low,Not assigned
AG,Not Available,AG,2/10/25,Medium,Low,Not assigned
AL,Not Available,AL,2/10/25,Medium,Low,Not assigned
AM,Not Available,AM,2/10/25,Medium,Low,Not assigned
AO,Not Available,AO,2/10/25,Medium,Low,Not assigned
AR,Not Available,AR,2/10/25,Medium,Low,Not assigned
AT,Not Available,Austria,2/10/25,Medium,Low,Neelaksh
AU-LH,Real-Time(<6hours),AU-LH,2/10/25,Medium,Low,Neelaksh
AU-NSW,Real-Time(<6hours),Australia - New South Wales,2/10/25,Medium,Low,Neelaksh
AU-NT,Real-Time(<6hours),Australia - Northern Territory,2/10/25,Medium,Low,Neelaksh
AU-QLD,Real-Time(<6hours),Australia - Queensland,2/10/25,Medium,Low,Neelaksh
AU-SA,Real-Time(<6hours),Australia - South Australia,2/10/25,Medium,Low,Neelaksh
AU-TAS-CBI,Real-Time(<6hours),AU-TAS-CBI,2/10/25,Medium,Low,Neelaksh
AU-TAS-FI,Real-Time(<6hours),AU-TAS-FI,2/10/25,Medium,Low,Neelaksh
AU-TAS-KI,Real-Time(<6hours),AU-TAS-KI,2/10/25,Medium,Low,Neelaksh
AU-TAS,Real-Time(<6hours),Australia - Tasmania,2/10/25,Medium,Low,Neelaksh
AU-VIC,Real-Time(<6hours),Australia - Victoria,2/10/25,Medium,Low,Neelaksh
AU-WA-RI,Not Available,AU-WA-RI,2/10/25,Medium,Low,Neelaksh
AU-WA,,Australia - Western Australia,2/10/25,Medium,Low,Neelaksh
AU,Real-Time(<6hours),Australia,2/10/25,Medium,Low,Neelaksh
AW,Not Available,Aruba,2/10/25,Medium,Low,Not assigned
AX,Not Available,AX,2/10/25,Medium,Low,Not assigned
AZ,Not Available,AZ,2/10/25,Medium,Low,Not assigned
BA,Not Available,BA,2/10/25,Medium,Low,Not assigned
BB,Not Available,BB,2/10/25,Medium,Low,Not assigned
BD,Not Available,BD,2/10/25,Medium,Low,Not assigned
BE,Not Available,Belgium,2/10/25,Medium,Low,Neelaksh
BF,Not Available,BF,2/10/25,Medium,Low,Not assigned
BG,Not Available,Bulgaria,2/10/25,Medium,Low,Neelaksh
BH,Not Available,BH,2/10/25,Medium,Low,Not assigned
BI,Not Available,BI,2/10/25,Medium,Low,Not assigned
BJ,Not Available,BJ,2/10/25,Medium,Low,Not assigned
BM,Not Available,BM,2/10/25,Medium,Low,Not assigned
BN,Not Available,BN,2/10/25,Medium,Low,Not assigned
BO,Not Available,BO,2/10/25,Medium,Low,Not assigned
BR-CS,Not Available,BR-CS,2/10/25,Medium,Low,Sayonsom
BR-N,Not Available,BR-N,2/10/25,Medium,Low,Sayonsom
